country,total_cases,total_deaths,total_recovered,active_cases,serious_cases,cases_per_million,deaths_per_million,total_tests,tests_per_million,population,obesity,median_age,median_age_male,median_age_female,gdp_per_capita,avg_temp_c,area_km,pop_p_km,asl_meters,mobility_composite,healthcare_pc
Netherlands,3501,10.0,1638.0,1853.0,14.0,21297.0,61.0,27708.0,168547.0,164393.0,20.4,39.9,38.300000000000004,41.766666666666666,60299.0,9.25,14001.333333333334,666.3333333333334,30.0,-30.8601849377745,4911.4404296875
Togo,3202,66.0,2726.0,410.0,,383.0,8.0,158810.0,18987.0,8364089.0,8.4,19.8,19.5,20.1,1913.0,27.15,56600.0,133.0,236.0,,38.048713684082
South Sudan,3181,62.0,3003.0,116.0,1.0,283.0,6.0,62494.0,5554.0,11252096.0,6.6,17.3,17.2,17.5,1715.0,,644329.0,20.0,,,22.8885726928711
Benin,3090,44.0,2972.0,74.0,,252.0,4.0,360194.0,29374.0,12262534.0,9.6,18.2,17.9,18.6,3648.0,27.55,112622.0,104.0,273.0,,30.7664470672607
Guinea-Bissau,2444,44.0,2337.0,63.0,5.0,1229.0,22.0,33033.0,16612.0,1988461.0,9.5,20.1,19.7,20.6,2113.0,26.75,36125.0,44.0,70.0,,52.3594093322754
Sierra Leone,2438,75.0,1850.0,513.0,,303.0,9.0,,,8048564.0,8.7,19.0,18.4,19.6,1765.0,26.05,71740.0,110.0,279.0,,66.4021835327148
Lesotho,2214,44.0,1302.0,868.0,,1030.0,20.0,27791.0,12927.0,2149828.0,16.6,24.2,24.2,24.2,3655.0,11.85,30355.0,75.0,2161.0,,104.552795410156
Nigeria,2160,80.0,1269.0,811.0,9.0,88.0,3.0,50488.0,2053.0,24587341.0,7.2,16.9,16.8,17.0,3662.0,26.975,1055088.0,118.5,427.0,,51.593315124511705
New Zealand,2092,25.0,2010.0,57.0,,418.0,5.0,1332470.0,266382.0,5002100.0,30.8,37.9,37.1,38.8,42045.0,10.55,270467.0,19.0,388.0,,3937.22192382813
Yemen,2082,606.0,1383.0,93.0,23.0,69.0,20.0,17404.0,578.0,30115363.0,17.1,19.5,19.3,19.6,2312.0,23.85,455000.0,64.0,999.0,,
Channel Islands,1926,48.0,1088.0,790.0,10.0,11032.0,275.0,199491.0,1142711.0,174577.0,,,,,,,,,,,
San Marino,1908,50.0,1555.0,303.0,5.0,56179.0,1472.0,20986.0,617908.0,33963.0,,44.4,43.3,45.4,62913.0,11.85,61.0,568.0,,,3361.64477539063
Chad,1745,102.0,1595.0,48.0,,105.0,6.0,,,16632180.0,6.1,17.8,16.8,18.8,2603.0,26.55,1284000.0,12.0,543.0,,29.730863571167
Liberia,1676,83.0,1358.0,235.0,2.0,328.0,16.0,35957.0,7037.0,5109978.0,9.9,17.8,17.5,18.0,1428.0,25.3,97036.0,46.0,243.0,-34.2009145915928,56.5990295410156
Liechtenstein,1466,20.0,1296.0,150.0,21.0,38400.0,524.0,15808.0,414071.0,38177.0,,43.2,41.7,44.5,,5.65,160.0,240.0,,,
Viet Nam,1391,35.0,1238.0,118.0,,14.0,0.4,1339465.0,13706.0,97729061.0,2.1,30.5,29.4,31.7,8677.0,24.45,331212.0,290.0,398.0,,129.575958251953
Netherlands,1225,26.0,1070.0,129.0,4.0,28427.0,603.0,8306.0,192746.0,43093.0,20.4,39.9,38.300000000000004,41.766666666666666,60299.0,9.25,14001.333333333334,666.3333333333334,30.0,-30.8601849377745,4911.4404296875
Gibraltar,1070,5.0,1022.0,43.0,1.0,31764.0,148.0,100831.0,2993261.0,33686.0,,34.7,33.8,35.7,,,6.8,4956.0,,,
Sao Tome and Principe,1009,17.0,947.0,45.0,,4566.0,77.0,7498.0,33934.0,220958.0,12.4,18.4,18.0,18.8,3499.0,23.75,1001.0,202.0,,,119.695655822754
Mongolia,906,,384.0,522.0,6.0,274.0,,405013.0,122669.0,3301678.0,20.6,28.3,27.5,29.2,15089.0,-0.7,1564100.0,1.9,1528.0,,148.784454345703
